"Secuencia","Codigo Producto","Producto","Ingles","Chino","Cantidad","Saldo","Costo","Fob","Fob Total"
"327","R150-FR0529","CUBREPUÑO DERECHO","","","30","30","2.56","",""
"329","R150-FR0529NEG","CUBREPUÑO DERECHO","","","60","60","2.56","",""
"332","R150-FR0530NEG","CUBREPUÑO IZQUIERDO","","","60","60","2.56","",""
"334","R150-FR0545","COBERTOR ENTREPIERNA PARA PARLANTE","","","30","30","36.39","",""
"337","R150-FR0570NEG","GUARDAFANGO DELANTERO 2023","","","160","160","5.25","",""
"2","R125-300118","CILINDRO","CYLINDER BODY","","100","100","10.41","",""
"7","R125-300327","CAJA DE CAMBIO","","","80","80","9.12","",""
"12","R125-300612","TAPA DE PIÑÓN MOTRIZ","RR·COVER, L·CRAKCASE","","25","25","3.8","",""
"17","R125-300904","DIRECCIONA DERECHA","Turning light, RH","","70","70","1.81","",""
"22","R125-300921NEG","COMPLEMENTO DE TAPA LATERAL DERECHA","Side cover, R","","50","50","3.96","",""
"27","R125-300933NEG","DECORATIVO IZQ. DE COBERTOR ENTRE PIERNAS 2023","","","50","50","5.22","",""
"32","R125-300936NEG","TAPA LATERAL DERECHA 2023","","","70","70","5.44","",""
"34","R125-301009","LUZ STOP","Taillight assy","","100","100","4.04","",""
"37","R125-301107","PASTILLA DE FRENO","","","100","100","1.14","",""
"39","R125-301117","BARRA TELESCOPICA IZQUIERDA","Front shock absorber, LH","","20","20","13.15","",""
"42","R125-301508","PIÑON DE VELOCIMETRO","Speed counter","","30","30","1.95","",""
"44","R125-301602","GUARDAFANGO POSTERIOR","Rear fender","","120","120","4.49","",""
"47","R125-301614ROJ","GUARDAFANGO DELANTERO 2021","","","150","150","6","",""
"49","R125-301801","ASIENTO","Seat","??","20","20","8.48","",""
"52","R125-301904","CDI","Control, ignition","","100","100","2.28","",""
"54","R125-CL0301","KIT DE CILINDRO  150-24 COLT","","","20","20","13.91","",""
"57","R125-CL0305","KIT DE PISTON 125 COLT","","","20","20","4.79","",""
"59","R125-CL0601","EMPAQUE DE MOTOR COLT","","","50","50","1.65","",""
"62","R125-CL0606","EMBRAGUE COMPLETO COLT","","","50","50","8.82","",""
"64","R125-CL0804","MAGNETO","ROLLER ASSY","","20","20","6.34","",""
"67","R125-CL0903","VELOCIMETRO  COLT","","","30","30","15.26","",""
"69","R125-CL1001","TANQUE DE COMBUSTIBLE","","","10","10","43.7","",""
"72","R125-CL1003","BOYA DE COMBUSTIBLE","","","30","30","1.93","",""
"74","R125-CL1105","LUZ DE STOP  COLT","","","30","30","7.46","",""
"77","R125-CL1305","PORTAZAPATA CON ZAPATA POSTERIOR","","","1","1","6.13","",""
"79","R125-CL1314","DISCO DE FRENO DELANTERO","","","20","20","","",""
"82","R125-CL1406","BARRA TELESCOPICA DERECHA","","","1","1","7.38","",""
"84","R125-CL1408","SOPORTE DE FARO DERECHO","","","30","30","7.38","",""
"87","R125-CL1415","RETROVISOR DERECHO","","","30","30","1.31","",""
"89","R125-CL1418","MANUBRIO IZQUIERDO","","","20","20","0.39","",""
"92","R125-CL1601","ESTRIBO DE CONDUCTOR  COLT","","","30","30","3.94","",""
"94","R150-000118","EMPAQUE DE OR (JUEGO)","","","300","300","1.23","",""
"99","R150-000227","SET DE ELEVADORES (2PCS)","","","50","50","1.2","",""
"104","R150-000621","BENDIX","Gear Assy","起动大齿轮组合","100","100","4.08","",""
"109","R150-000722NEG","MASCARILLA C/TAPA POSTERIOR","","","80","80","6.33","",""
"114","R150-000823","BARRA TELESCOPICA DERECHO","Front shock absorber, LH","前左减震器","60","60","16.69","",""
"119","R150-000925","ALMOHADILLA DE ESPALDAR","","","3","3","2.02","",""
"124","R150-000942NEG","TAPA LATERAL IZQUIERDA  CLASICA 2023","","","100","100","4.9","",""
"129","R150-001029NEG","COBERTOR DE STOP MAS BASE Y STOP 150-0  2013","","","80","80","11.84","",""
"134","R150-001316","CATALINA","R·chain wheel","后链轮","330","330","3.6","",""
"139","R150-001413","BOBINA DE BUJIA","Ignition loop","点火线圈","50","50","1.61","",""
"144","R150-002728","PIÑON MOTRIZ","Output Sprocket","输出链轮","900","900","0.98","",""
"149","R150-100703","VELOCIMETRO","Instrument","仪表总成","70","70","15.3","",""
"154","R150-100804","RETRVISOR IZQUIERDO","Lrr view mirror","左后视镜","50","50","1.55","",""
"339","R150-FR0571BLA","SPOILER INFERIOR 2023","","","20","20","8.47","",""
"344","R150-FR0572ROJ","FRONTAL DE MASCARILLA 2023","","","60","60","6.59","",""
"349","R150-FR0704","TEMPLADOR DE CADENILLA","","","10","10","1.22","",""
"354","R150-FR0720","EJE  DE ACONDICIONAMIENTO","","","10","10","2.3","",""
"359","R150-FR0746","TENSOR Y DELIZADOR DE CADENILLA","","","20","20","1.18","",""
"364","R150-FR0756","CADENILLA DE DISTRIBUSION Y BOMBA DE ACEITE SET","","","20","20","1.77","",""
"369","R150-JD0202","SOPORTE DE VELOCIMETRO","","","40","40","1.15","",""
"374","R150-JD0309","CABLE DE FRENO POSTERIOR","","","100","100","1.7","",""
"379","R150-JD0410","DECORATIVO INFERIOR DE TAPA FRONTAL","","","40","40","1.24","",""
"384","R150-JD0502","PORTA OBJETO","","","10","10","2.92","",""
"389","R150-JD0519","DECORATIVO INFERIOR DE CHASIS","","","30","30","2.31","",""
"394","R150-JD0603","COMPLEMENTO LATERAL POSTERIOR DERECHO","","","50","50","0.39","",""
"399","R150-JD0611","LUZ PORTA PLACA","","","20","20","0.82","",""
"404","R150-JD0801","RECTIFICADOR","","","50","50","3.61","",""
"409","R150-JD0903","BARRA TELESCOPICA IZQUIERDA","","","20","20","10.26","",""
"414","R150-JD1005","MANIJA DE FRENO IZQUIERDO S/BOMBA","","","10","10","1.47","",""
"419","R150-JD1015","ARO POSTERIOR NEW JEDI 2.15x10","","","30","30","15.68","",""
"424","R150-JD1104","DECORATIVO DE ESCAPE JEDI","","","70","70","5.14","",""
"429","R150-JD1303","CADENILLA DE DISTRIBUCION","","","50","50","2.18","",""
