"Secuencia","Codigo Producto","Producto","Ingles","Chino","Cantidad","Saldo","Costo","Fob","Fob Total"
"688","R200-182106","MANIJA DE FRENO SIN BASE","Lever,   Front  Brake","MANIJA DE FRENO SIN BASE","25","25","1.33","",""
"693","R200-182311","CUBRE CADENA","Chain Box","","10","10","8.53","",""
"698","R200-182512","BOBINA DE BUJIA  150-15","Ignition Loop","","50","50","1.68","",""
"703","R200-182806","EJE DE RUEDA POSTERIOR","Rear Wheel Axle","","10","10","3.04","",""
"708","R200-6C2110","KIT SWITCH","","","100","100","6.87","",""
"713","R200-6E0712","CABLE DE ACELERACION","Throttle cable","","100","100","1.76","",""
"718","R200-6E1119","DECORATIVO DE VENTILACION IZQUIERDO DEL MOTOR","","","10","10","0.66","",""
"723","R200-6E1123NEG","COBERTOR DE TANQUE IZQUIERDO 2023","","","30","30","7.27","",""
"728","R200-6E1126NEG","LATERAL POSTERIOR IZQUIERDO THOR 2023","","","30","30","4.96","",""
"733","R200-6E1304","PEDAL DE ARRANQUE","","","30","30","4.63","",""
"738","R200-6E1310","ESTRIBO DE PASAJERO IZQUIERDO","","","20","20","3.83","",""
"743","R200-6E1415ROJ","TANQUE DE COMBUSTIBLE","","","10","10","32.69","",""
"748","R200-9S1402","DECORATIVO DE TANQUE DELANTERO","Decoration cover  fuel tank.H","","50","50","1.65","",""
"753","R200-9S1929","CATALINA 42D  5 HUECOS","Bearung buffer body","","500","500","4.6","",""
"758","R200-9S2013","COMANDO DERECHO","Right handlebar switches","","200","200","2.55","",""
"762","R200-9S2020","BARRA TELESCOPICA IZQUIERDA","Left front shock absorber","","30","30","24.12","",""
"763","R200-9S2021","SISTENA DE FRENO DELANTERA","Front arrester assy","","10","10","28.45","",""
"767","R200-VR1005","AGARRADERA"," Rear handrest","","20","20","10.49","",""
"768","R200-VR1102NEG","DECORATIVO DE MASCARILLA DERECHO VORTEX II","","","1","1","2.75","",""
"772","R200-VR1301NEG","GUARDAFANGO DELANTERO","","","20","20","8.15","",""
"773","R200-VR1301ROJ","GUARDAFANGO DELANTERO","","","20","20","8.15","",""
"777","R200-VR1405","GUARDAFANGO POSTERIOR","Small rear retaining mud","","200","200","3.83","",""
"778","R200-VR1406","LUZ PORTAPLACA","Rear license plate light","","100","100","3.58","",""
"782","R200-VR1726","DECORATIVO DE MANUBRIO","Hose fixing bracket, front disc brake","","8","8","1.41","",""
"783","R200-VR1730","KIT SWICHT","","","20","20","9.64","",""
"787","R200-VR1905","ESTRIBO DE CONDUCTOR DERECHO","","","150","150","2.66","",""
"788","R200-VR1906","ESTRIBO DE CONDUCTOR IZQUIERDO","","","150","150","2.32","",""
"792","R250-060308","KIT DE UÑETA Y SELECTOR DE CAMBIO (JUEGO)","Gearshift drum assy","变速鼓","50","50","5.51","",""
"793","R250-060317","CAJA DE CAMBIO","","","200","200","19.08","",""
"797","R250-061331","CATALINA 250-6I 2020 38D.","","","107","107","6.11","",""
"798","R250-061713","CIGUEÑAL C/BALANSHACK 2019","","","150","150","33.17","",""
"802","R250-063012","ESTRIBO DELANTERO  DERECHO","Footrest assy, RH","前右搁脚组合","50","50","4.92","",""
"803","R250-063014","ESTRIBO DELANTERO IZQUIERDO","Footrest assy, LH","前左搁脚组合","50","50","4.92","",""
"807","R250-080803","TENSOR Y DESLIZADOR DE CADENILLA 2PCS 250-8 TITAN","","","20","20","","",""
"808","R250-080903","FILTRO DE ACEITE 250-8 TITAN","","","30","30","","",""
"812","R250-081103","DECORATIVO DE MASCARILLA DERECHO 250-8 TITAN","","","30","30","3.72","",""
"813","R250-081104","DECORATIVO DE MASCARILLA IZQUIERDO 250-8 TITAN","","","50","50","3.72","",""
"817","R250-081212","TIMON 250-08 TITAN LOC","","","60","60","4.6","",""
"818","R250-081213","KIT SWITCH 250-08 TITAN B/INV.","","","61","61","","",""
"822","R250-181214NEG","DECORATIVO DE TIMON 250-18D","","","6","6","2.62","",""
"823","R250-181305","ESTRIBO DE PASAJERO IZQUIERDO 250-18D","","","30","30","3.39","",""
"827","R250-181403","TUBO DE ADMISION ZJ132  250-18D","","","20","20","1.82","",""
"828","R250-181404","CARBURADOR 250-18D","","","30","30","21.31","",""
"832","R250-5A1713","CIGUEÑAL  250-6A  SPORT-R SPORTII  250-9A AVENTURE LOC","","","25","25","85","",""
"833","R250-5A4012","TENSOR Y DESLIZADOR DE CADENILLA  JUEGO  250-6A","","","120","120","2.84","",""
"837","R250-9A1206","DECORATIVO DE FARO SET (2PCS) NEW","Hglue","","5","5","6.85","",""
"838","R250-9A1209","DIRECCIONAL DELANTERA","Turninglight, RH","","30","30","3.6","",""
"842","R250-9A1417NEG","CUBIERTA DE STOP","Tail cover","","15","15","5.62","",""
"843","R250-9A1417ROJ","CUBIERTA DE STOP","Tail cover","","15","15","5.62","",""
"847","R250-9A1611","KIT SWICHT","Lock, bike head","","20","20","9.08","",""
"848","R250-9A1625","CABLE DE ACELERADOR","Throttle cable","","30","30","0.95","",""
"852","R250-9A2012","PIÑON DE VELOCIMETRO","Speed counter","","30","30","2.3","",""
"853","R250-9A2021","DISCO DE FRENO DELANTRO 2022/- NEW  A-VENTURE","","","50","50","","",""
"857","R250-9S2509","TUBO ESCAPE  SPORT-R","Muffler","","120","120","45.99","",""
"858","R250-II0102","FLASH","","","100","100","0.7","",""
"862","R250-II0202","AMORTIGUADOR","","","10","10","19.6","",""
"863","R250-II0204","MESA DE DIRECCION","","","6","6","9.2","",""
"867","R250-II0301NEG","MASCARILLA  CHEIF II","Headlight assembly plate","","50","50","8.83","",""
"868","R250-II0302","FARO DELANTERO CHEIF II","Headlight","","120","120","18.17","",""
"872","R250-II0307","LUZ STOP","Tail light","","20","20","4.79","",""
"873","R250-II0311","MASCARILLA  CHEIF II MATE","","","50","50","8.35","",""
"877","R250-II0316","ASIENTO DELANTERO","","","30","30","4.23","",""
"878","R250-II0317","ASIENTO POSTERIOR","","","80","80","3.97","",""
"882","R250-II0321ROJ","TANQUE DE COMBUSTIBLE NEW","","","30","30","31.48","",""
"883","R250-II0321VRD","TANQUE DE COMBUSTIBLE NEW","","","25","25","29.76","",""
"887","R250-II0401","COBERTOR DE TANQUE DERECHO CHEIF II","Speedometer cover","","20","20","1.33","",""
"888","R250-II0402","COBERTOR DE TANQUE IZQUIERDO CHEIF II","Fule tank left cover","","20","20","1.33","",""
"892","R250-II0411","GUARDAFANGO DELANTERO CHEIF II MATE","Front fender","","20","20","9.85","",""
"893","R250-II0414","TAPA CENTRAL DEL ASIENTO POSTERIOR CHEIF II","Middel cover,Rear","","30","30","4.6","",""
"897","R250-II0425","GUARDAFANGO POSTERIOR","","","30","30","2.18","",""
"898","R250-II0426","DECORATIVO DE MOTOR IZQUIERDO","","","30","30","4.6","",""
"902","R250-II0430","GUARDALODO","","","5","5","3.84","",""
"903","R250-II0432","SPOILER","","","60","60","1.09","",""
"907","R250-II0435VRD","LATERAL DE MASCARILLA DERECHO CHIEF II 2022/-","","","50","50","14.88","",""
"908","R250-II0436","LATERAL DE MASCARILLA IZQUIERDO CHIEFII  2022/-","","","80","80","14.88","",""
"912","R250-II0437ROJ","LATERAL CENTRAL DE MASCARILLA RH CHIEF II 2022/-","","","50","50","14.88","",""
"913","R250-II0437VRD","LATERAL CENTRAL DE MASCARILLA RH CHIEF II 2022/-","","","40","40","14.88","",""
"917","R250-II0439","LATERAL POSTERIOR DERECHO 2022/-","","","20","20","5.82","",""
"918","R250-II0439ROJ","LATERAL POSTERIOR DERECHO 2022/-","","","30","30","5.57","",""
"922","R250-II0440VRD","LATERAL POSTERIOR IZQUIERDO 2022/-","","","20","20","6.64","",""
"923","R250-II0441","TAPA LATERAL DERECHA 2022/-","","","20","20","2.94","",""
"927","R250-II0445","GUARDAFANGO DELANTERO PARA BARRA INVERTIDA","","","60","60","10.88","",""
"928","R250-II0445ROJ","GUARDAFANGO DELANTERO PARA BARRA INVERTIDA","","","50","50","10.88","",""
"932","R250-II0503","COMANDO IZQUIERDO   CHEIF II","HANDLE GRIP, LEFT","","100","100","2.09","",""
"933","R250-II0504","COMANDO DERECHO     CHEIF II","HANDLE GRIP, RIGHT","","100","100","2.09","",""
"937","R250-II0512","PIÑON MOTRIZ  CHEIF II","","","100","100","1.15","",""
"938","R250-II0513","TIMON RH CHEIF II","","","30","30","6.67","",""
"942","R250-II0518","BARRA TELESCOPICA DERECHA","","","20","20","18.63","",""
"943","R250-II0519","BARRA TELESCOPICA IZQUIERDA","","","20","20","18.63","",""
"947","R250-II0526","BARRA TELESCOPICA INVERTIDA IZQUIERDO","","","30","30","63.99","",""
"948","R250-II0527","BARRA TELESCOPICA  INVERTIDA DERECHO","","","30","30","63.99","",""
"952","R250-II0606","EMBRAGUE COMPLETO  CHEIF II","CLUTCH ASSY.","","20","20","23.61","",""
"953","R250-II0607","CAJA DE CAMBIO  CHEIF II","DRIVING / DRIVEN GEAR","","70","70","21.23","",""
"957","R250-II0613","ENFRIADOR DE ACEITE","","","50","50","21.63","",""
"958","R250-II0614","CADENILLA DE MOTOR","","","40","40","4.59","",""
"962","R250-II0625","UÑETAS Y SELECTOR DE CAMBIO JUEGO","","","30","30","6.34","",""
"963","R250-II0631","TUBO DE ADMISION","","","10","10","1.74","",""
"967","R250-II0644","SOPORTE FARO Y VELOCIMETRO METALICO","","","10","10","9.21","",""
"968","R250-II0701","ESTRIBO DE CONDUCTOR DERECHO  CHEIF II","FRONT FOOTREST, RIGHT","","300","300","5.31","",""
"972","R250-II0705","PEDAL DE CAMBIO CHEIF II","PEDAL GEAR","","250","250","5.08","",""
"973","R250-II0706","PEDAL DE FRENO","","","250","250","1.6","",""
"977","R250-II0803","CATALINA               CHEIF II","REAR SPROCKET","","100","100","3.35","",""
"978","R250-II0804","PIÑON DE VELOCIMETRO CHEIF II","Front odometer","","50","50","2.64","",""
"982","R250-II0812","CADENA","","","30","30","6.88","",""
"983","R250-II0819","PASTILLA DE FRENO POSTERIOR","","","100","100","3.63","",""
"987","R250-II0824","SISTEMA DE FRENO DELANTERO (B.INV)","","","20","20","52.72","",""
"988","R250-II0825","DISCO DE FRENO DELANTERO PARA BARRA INV.","","","50","50","15.73","",""
"992","R250-SP1708","DIRECCIONAL DELANTERA JUEGO SPORT II  3CABLES","","","200","200","9.61","",""
"993","R250-SP1915NEG","GUARDAFANGO DELANTERO SPORT II 2023/-","","","60","60","5.69","",""
"781","R200-VR1710","MANIJA DE EMBRAGUE","Clutch lever assy","","200","200","4.7","",""
"786","R200-VR1904","PEDAL DE ARRANQUE","","","200","200","4.16","",""
"791","R250-060214","PALILLO DE DISTRIBUCION JUEGO  2PCS","Pushrod assy","推杆组合","150","150","1.21","",""
"796","R250-060933","STICKERS SET 250-6I 2023/-","","","50","50","41.03","",""
"801","R250-063004","PEDAL DE FRENO 250-6I 2019/-","Split pinφ1.5×20","开口销1.5×20","100","100","5.69","",""
"806","R250-080801","MAGNETO 250-8 TITAN","","","20","20","","",""
"811","R250-081102","VELOCIMETRO 250-8 TITAN 250-6A","","","30","30","29.46","",""
"816","R250-081211","CUBREPUÑO IZQUIERDO 250-8 TITAN","","","30","30","6.36","",""
"821","R250-181203","COMANDO IZQUIERDO 250-18D","","","30","30","3.37","",""
"826","R250-181402","CANISTER COMPLETO  250-18D","","","30","30","9.37","",""
"831","R250-181802","LUZ STOP 250-18D","","","40","40","3.76","",""
"836","R250-9A1201","PARABRIZA","Windshield","","30","30","13.82","",""
"841","R250-9A1308","VELOCIMETRO A-VENTURE (6 SPEED) 2023/-","","","20","20","38.49","",""
"846","R250-9A1606","COMANDO IZQUIERDO","Handlebar switch, LH","","82","82","3.98","",""
"851","R250-9A1818","DEPURADOR","Air cleaner assy","","10","10","10.52","",""
"856","R250-9S2316","DISCO DE FRENO POSTERIOR","","","300","300","5.63","",""
"861","R250-II0106","ARNE ELECTRICO","","","30","30","20.52","",""
"866","R250-II0224","MESA COMPLETA 2023 PARA BARRA INVERTIDA","","","15","15","34.48","",""
"871","R250-II0305","COBERTOR DE VELOCIMETRO CHEIF II","SPEEDOMETER COVER","","30","30","2.3","",""
"876","R250-II0315","CO0BERTOR INFERIOR DE MASCARILLA","","","40","40","2.18","",""
"881","R250-II0321","TANQUE DE COMBUSTIBLE NEW","","","40","40","31.48","",""
"886","R250-II0322VRD","FRONTAL DE MASCARILLA 2022","","","30","30","7.5","",""
"891","R250-II0406","COMPLEMENTO DE TAPA LATERAL DERECHA CHEIF II","Middle decoration Cover , Right","","10","10","2.85","",""
"896","R250-II0424","DECORATIVO REJILLA LH","","","20","20","0.97","",""
"901","R250-II0429","DECORATIVO DERECHO DE LATERAL DE MASCARILLA","FRONT RIGHT SIDE PLATE","","20","20","1.33","",""
"906","R250-II0435ROJ","LATERAL DE MASCARILLA DERECHO CHIEF II 2022/-","","","70","70","14.88","",""
"911","R250-II0437","LATERAL CENTRAL DE MASCARILLA RH CHIEF II 2022/-","","","60","60","14.88","",""
"916","R250-II0438VRD","LATERAL CENTRAL DE MASCARILLA LH CHIEF II 2022/-","","","40","40","14.88","",""
"921","R250-II0440ROJ","LATERAL POSTERIOR IZQUIERDO 2022/-","","","30","30","5.57","",""
"926","R250-II0442NEG","TAPA LATERAL IZQUIERDA 2022/-","","","20","20","2.94","",""
"931","R250-II0502","MANUBRIO DERECHO    CHEIF II","","","30","30","1.02","",""
"936","R250-II0511","KIT SWITCH CHEIF II","","","50","50","8.35","",""
"941","R250-II0516","MANIJA DE FRENO","","","50","50","3.97","",""
"946","R250-II0525","TIMON DERECHO 2023","","","100","100","12.16","",""
"951","R250-II0605","CINTA DE ARRANQUE  CHEIF II","START CLUTCH GEAR","","30","30","13.85","",""
"956","R250-II0612","DEPURADOR","","","10","10","4.22","",""
"961","R250-II0619","CARTER IZQUIERDO","","","10","10","44.32","",""
"966","R250-II0643","CAÑERIA DEL ENFRIADOR DE ACEITE SET 2PCS","","","60","60","6.4","",""
"971","R250-II0704","ESTRIBO DEL PASAJERO IZQUIERDO CHEIF II","REAR FOOTREST, LEFT","","50","50","4.44","",""
"976","R250-II0802","ARO POSTERIOR  CHEIF II","REAR WHEEL","","30","30","35.84","",""
"981","R250-II0811","DISCO DE FRENO POSTERIOR","","","50","50","5.2","",""
"986","R250-II0823","BOMBA DE FRENO POSTERIOR","","","10","10","12.8","",""
"991","R250-SP1516NEG","TANQUE DE COMBUSTIBLE 2023/-","","","50","50","42.58","",""
"5","R125-300314","PIÑON MOTRIZ C/SEGURO 14D","SOPPER, DRIVE","","150","150","0.68","",""
"10","R125-300601","BOBINA DE MOTOR","STATOR ASSY","","50","50","5.32","",""
"15","R125-300630","CADENILLA DE ARRANQUE ELECTRICO LOC","","","200","200","2.68","",""
"20","R125-300917","DECORATIVO INFERIOR DEL COBERTOR ENTRE PIERNA IZQUIERDO","","","10","10","4.07","",""
"25","R125-300932ROJ","MASCARILLA DE DIRECCIONAL 2021","","","12","12","7.62","",""
"30","R125-300934NEG","DECORATIVO DER. DE COBERTOR ENTRE PIERNAS 2023","","","50","50","5.21","",""
"35","R125-301102","RETROVISOR IZQUIERDO","Rear-view mirror, LH","","100","100","1.55","",""
"40","R125-301123","RETROVISOR DERECHO","","","100","100","1.55","",""
"45","R125-301614AZU","GUARDAFANGO DELANTERO 2021","","","80","80","5.89","",""
"50","R125-301806","TAPA DE BATERIA","The glove compartment lid","","10","10","1.07","",""
"55","R125-CL0302","CIGUEÑAL 150-24 COLT","","","20","20","17.79","",""
"60","R125-CL0602","DECORATRIVO DE TAPA DE EMBRAGUE","","","50","50","2.05","",""
"65","R125-CL0805","TAPA BOBINA DE MOTOR","","","25","25","6.81","",""
"70","R125-CL1001NEG","TANQUE DE COMBUSTIBLE","","","15","15","43.7","",""
"75","R125-CL1203","AMORTIGUADOR SET  COLT","","","25","25","15.83","",""
"80","R125-CL1401","BARRA TELESCOPICA IZQUIERDA","","","1","1","7.38","",""
"85","R125-CL1412","MANIJA DE FRENO","","","30","30","2.41","",""
"90","R125-CL1502","CARBURADOR  COLT","","","20","20","11","",""
"95","R150-000119","CABEZOTE PARA CANISTER","","","50","50","24.16","",""
"100","R150-000230","KIT DE ARBOL  DE LEVA C/PIÑON DE CIGUEÑAL","","","200","200","4.88","",""
"105","R150-000624","BOBINA DEL MOTOR","Stator, Magneto","磁电机定子组合","400","400","9.86","",""
"110","R150-000801","COBERTOR DE SWITCH","Ignition switch cover","点火开关罩","192","192","0.55","",""
"115","R150-000824","BARRA TELESCOPICA IZQUIERDO","Front shock absorber, LH","前右减震器","60","60","16.69","",""
"120","R150-000926","STIKER 150 I NEW","","","3","3","0.6","",""
"125","R150-000942ROJ","TAPA LATERAL IZQUIERDA  CLASICA 2023","","","70","70","4.9","",""
"130","R150-001107","CADENA","Chain bar","链条 ","1000","1000","4.08","",""
"135","R150-001325","PASTILLA DE FRENO DELANTERA","","","150","150","1.22","",""
"140","R150-001416NEG","ALARMA MAS CONTROL","","","56","56","10.55","",""
"145","R150-002744","CAJA DE CAMBIO  150-08","","","300","300","13.05","",""
"150","R150-100704","CABLE DEL VELOCIMETRO","Cable, odometer","里程表软轴","50","50","1.01","",""
"155","R150-100807","COMANDO DE IZQUIERDO","Handlebar switch, LH","左手把开关","100","100","4.71","",""
"160","R150-100824","BARRA TELESCOPICA IZQUIERDA","Damper assy, front right","前右减震器组合","50","50","14.49","",""
"165","R150-101011GRI","LUZ DE STOP","Tail light","尾灯总成","30","30","3.83","",""
"170","R150-101217","ESTRIBO SIN PATA DE APOYO","Washer 6-140HV-Zn·D","垫圈6-140HV-Zn·D","80","80","5.94","",""
"175","R150-101403","DEPURADOR","Air cleaner assy","空滤器总成","20","20","3.36","",""
"180","R150-102511","LLAVE DE PASO DE GASOLINA","Fuel switch","燃油开关","20","20","1.03","",""
"185","R150-103705NEG","COBERTOR DE STOP","Trail cover","尾罩盖板","20","20","2.21","",""
"190","R150-150710","VELOCIMETRO NEW 2021","","","150","150","18.42","",""
"195","R150-152202","TUBO DE ESCAPE ","Muffler Comp. ","排气消声器总成","50","50","18.51","",""
"200","R150-153216NEG","TANQUE DE COMBUSTIBLE 2023","","","40","40","20.18","",""
"205","R150-153710ROJ","TAPA LATERAL DERECHA 2023","","","30","30","2.52","",""
"210","R150-153812","CABLE DE ACELERACION","Throttle Cable","油门线","100","100","1.05","",""
"215","R150-155403","EJE DE RUEDA POSTERIOR","Rear Wheel Axle","后轮轴","10","10","1.69","",""
"220","R150-1F0105","ASIENTO  150-10F","","","10","10","22.23","",""
"225","R150-1F0910","VELOCIMETRO","Instrument","","50","50","32.71","",""
"230","R150-1F1613","DECORATIVO INTERIOR DE COBERTOR DE TANQUE IZQUIERDO","Fuel tank  guard plate lined with the left","","10","10","0.55","",""
"235","R150-1F1635ROJ","COBERTOR DE TANQUE DERECHO 2023/-","","","30","30","5.5","",""
"240","R150-AR0305","KIT SWITCH ARMY","","","40","40","7.03","",""
"245","R150-AR0402ROJ","MASCARILLA DE FARO ARMY","","","40","40","2.52","",""
"250","R150-AR0406NEG","COBERTOR DE TANQUE DERECHO","","","50","50","3.96","",""
"255","R150-AR0409BLA","COMPLEMENTO DE LATERAL POSTERIOR IZQUIERDO","","","20","20","2.28","",""
"260","R150-AR0416ROJ","TANQUE DE COMBUSTIBLE","","","20","20","23.96","",""
"265","R150-AR0506","KIT DE PISTAS","","","60","60","1.69","",""
"270","R150-AR0512","MESA COMPLETA ARMY","","","30","30","17.92","",""
"275","R150-AR0608","PEDAL FRENO ARMY","","","50","50","","",""
"280","R150-AR0801","TAPA DE BOBINA DE MOTOR ARMY","","","30","30","9.85","",""
"285","R150-FR0132NEG","PROTECTOR INFERIOR DE CHASIS 2023","","","50","50","3.33","",""
"290","R150-FR0204","ARO DELANTERO  350x10","","","20","20","13.74","",""
"295","R150-FR0215","PIÑON DE VELOCIMETRO","","","20","20","1.41","",""
"300","R150-FR0236NEG","MANUBRIO DE AGARRE","","","150","150","1.53","",""
"305","R150-FR0242","RODILLO DE TRANSMISION DELANTERA","","","50","50","2","",""
"310","R150-FR0401","TANQUE DE COMBUSTIBLE","","","5","5","6.29","",""
"315","R150-FR0503","VELOCIMETRO","","","50","50","31.62","",""
"320","R150-FR0516","GUARDAFANGO POSTERIOR","","","40","40","1.81","",""
"325","R150-FR0527","COMANDO DERECHO","","","150","150","3.02","",""
"330","R150-FR0530","CUBREPUÑO IZQUIERDO","","","30","30","2.56","",""
"335","R150-FR0551","FARO NEW","","","60","60","5.79","",""
"340","R150-FR0571NEG","SPOILER INFERIOR 2023","","","50","50","8.96","",""
"345","R150-FR0573NEG","LATERAL POSTERIO DERECHO  2023","","","60","60","7.68","",""
"350","R150-FR0707","KIT BENDIX DEL ARRANQUE","","","50","50","10.47","",""
"355","R150-FR0731","EMPAQUE DE MOTOR","","","150","150","2.36","",""
"360","R150-FR0747","FILTRO DE ACEITE","","","20","20","1.23","",""
"365","R150-JD0101","RETROVISORES JUEGO","","","50","50","4.01","",""
"370","R150-JD0302","MANUBRIO DE ACELERACION","","","60","60","1.67","",""
"375","R150-JD0403","DECORATIVO DE FRONTAL","","","50","50","0.39","",""
"380","R150-JD0411","SPOILER JEDI 2022","","","55","55","11.17","",""
"385","R150-JD0507","DECORATIVO INTERIO DE PORTA OBJETO","","","15","15","0.21","",""
"390","R150-JD0523","LATERAL CENTRAL DERECHO 2022","","","25","25","3.44","",""
"395","R150-JD0606","LUZ DE STOP","","","60","60","8.5","",""
"400","R150-JD0612","LATERAL POSTERIOR IZQUIERDO 2022","","","25","25","5.78","",""
"405","R150-JD0802","BOBINA DE BUJIA","","","20","20","2.11","",""
"410","R150-JD0904","BARRA TELESCOPICA DERECHA","","","30","30","10.26","",""
"415","R150-JD1007","PASTILLA DE FRENO","","","100","100","1.55","",""
"420","R150-JD1016","MORDAZA JEDI","","","20","20","11.99","",""
"425","R150-JD1207","ESTRIBO IZQUIERDO","","","200","200","2.09","",""
"430","R150-JD1304","TENSOR Y DESLIZADOR DE CADENILLA SET FREEDOM","","","30","30","0.84","",""
"435","R150-JD1411","MOTOR DE ARRANTE FREEDOM","","","10","10","11.35","",""
"440","R150-JD1417","TAPA DE CARTER IZQUIERDO","","","15","15","14.69","",""
"445","R150-JD1510","MAGNETO C/BOBINA DE MOTOR FREEDOM","","","10","10","11","",""
"450","R150-WR0305BLA","DECORATIVO DE MASCARILLA DERECHO","","","20","20","1.62","",""
"455","R150-WR0419","ESPONJA DE COBERTOR DERECHO WOLVERINE","","","50","50","1.08","",""
"460","R150-WR0606NEG","GUARDAFANGO DELANTERO","","","50","50","8.27","",""
"465","R150-WR0802","ESTRIBO POSTERIOR DERECHO","","","100","100","4.21","",""
"470","R150-WR0905","CABLE DE ACELERADOR","","","100","100","1.08","",""
"475","R150-WR1402","AUTOMATICO CABLE CORTO","","","100","100","2.32","",""
"480","R175-CT0113","VELOCIMETRO","","","30","30","18.99","",""
"485","R175-CT0118","DIRECCIONAL DELANTERA IZQUIERDA","","","30","30","5.03","",""
"490","R175-CT0205","DECORATIVO INTERIOR DE GUANTERA","","","10","10","0.78","",""
"495","R175-CT0302","LATERAL POSTERIOR DERECHO","","","20","20","11.43","",""
"500","R175-CT0305ROJ","CUBIERTA DE STOP","","","10","10","2.26","",""
"505","R175-CT0313","PORTA OBJETO","","","10","10","6.73","",""
"510","R175-CT0402","LUZ DE STOP","","","30","30","17.17","",""
"515","R175-CT0410","BOYA DE COMBUSTIBLE","","","30","30","1.6","",""
"520","R175-CT0603","BARRA TELESCOPICA DERECHA","","","20","20","14.17","",""
"525","R175-CT0609","MANUBRIO DE AGARRE","","","30","30","0.73","",""
"530","R175-CT0616","CABLE DE FRENO POSTERIOR","","","60","60","1.74","",""
"535","R175-CT0704","PIÑON DE VELOCIMETRO","","","10","10","1.87","",""
"540","R175-CT0803","TUBO DE ESCAPE C/DECORATIVO","","","40","40","22.09","",""
"545","R175-CT1015","CARTER IZQUIERDO","","","30","30","29.08","",""
"550","R175-CT1201","BOBINA DE MOTOR","","","5","5","8.79","",""
"555","R200-060127","KIT DE CILINDRO VORTEX THOR 200-9  200-9S","","","200","200","16.24","",""
"560","R200-060435","CINTA DE ARRANQUE O BENDIX   250-06","","","150","150","6.79","",""
"565","R200-060627NEG","MOTOR DE ARRANQUE 11D 2016 C/BALANSHAFT","","","50","50","11.26","",""
"570","R200-060801","RETROVISOR  DERECHO","Rear-right view mirror","右后视镜","150","150","1.62","",""
"575","R200-060828","CABLE DE EMBRAGUE","Clutch cable unit","离合器拉索","200","200","1.22","",""
"580","R200-060930","SWICH DE ENCENDIDO MAS TAPA ","","","150","150","9.26","",""
"585","R200-061117","CADENA ","Chain bar","链条","450","450","5.33","",""
"590","R200-061531","BATERIA","Battery","蓄电池","200","200","12.4","",""
"595","R200-062104","CARBURADOR","Carburetor assy","化油器总成","150","150","13.39","",""
"600","R200-080113","TAPA DE VALVULAS","Cylinder Head Cover","气缸头盖","10","10","4.67","",""
"605","R200-080714","DIRECCIONAL POSTERIOR  DERECHA","Turnlight back, R","后右转向灯","30","30","1.61","",""
"610","R200-080822","CABLE DE ACELERACION","THROTTLE  CABLE COMP","油门操纵线","60","60","1.3","",""
"615","R200-080832","BARRA TELESCOPICA IZQUIERDA","L．FABSORBOR","左前减震器","40","40","25.06","",""
"620","R200-080948NEG","LATERAL POSTERIOR DERECHO SMX-8  2022","","","20","20","5.44","",""
"625","R200-081402","SOPORTE DE BATERIA","BATTERY BOX","蓄电池支架","10","10","0.6","",""
"630","R200-082106","TUBO DE ADMISION","Enter windpipe assy","进气管组合","10","10","1.91","",""
"635","R200-096109","JUEGO DE EMPAQUES","","","120","120","1.36","",""
"640","R200-180225","EMPAQUE DE MOTOR JUEGO","","","200","200","1.61","",""
"645","R200-180613","VISUALIZADOR","OIL INSPECTION HOLE","","48","48","0.79","",""
"650","R200-181605","SOPORTE DE FARO POSTERIOR","Bracket , Headlight","","60","60","10.12","",""
"655","R200-181622","DECORATIVO DE MASCARILLA SUPERIOR 2020","","","50","50","2.3","",""
"660","R200-181703","COMANDO RH","Handlebar switch, RH","","120","120","3.42","",""
"665","R200-181801NEG","TANQUE DE COMBUSTIBLE","Gasoline Tank Jointing assy","","40","40","47.09","",""
"670","R200-181822","DECORATIVO INTERIOR DE COBERTOR TANQUE RH","Fuel tank inner small bracket, R","","30","30","3.3","",""
"675","R200-181902","ESTRIBO POSTERIOR LH","Rr-Lt  Footrest","","50","50","2.91","",""
"680","R200-181918","DECORATIVO  ESTRIBO POSTERIOR METALICA RH","","","30","30","5.8","",""
"685","R200-182006","DIRECCIONAL POSTERIOR LH","Turning Light LR","","120","120","2.47","",""
"690","R200-182123","KIT SWITCH","Lock Set","","20","20","14.05","",""
"695","R200-182402","ESTRIBO DEL CONDUCTOR LH","Footrest . FL","","30","30","4.97","",""
"700","R200-182703","ARO DELANTERO 1.85 X 17","Front Rim","","25","25","26.35","",""
"705","R200-182814","ARO POSTERIOR 2020","","","15","15","45.19","",""
"710","R200-6E0709","DIRECCIONAL POSTERIOR IZQUIERDA","Turning light, LR","","50","50","2.17","",""
"715","R200-6E1107ROJ","GUARDAFANGO DELANTERO","Rear fender","","20","20","10.72","",""
"720","R200-6E1121ROJ","COMPLEMENTO DE LATERAL POSTERIOR IZQUIERDO 2023","","","20","20","3.54","",""
"725","R200-6E1124NEG","COBERTOR DE TANQUE DERECHO 2023","","","30","30","7.27","",""
"730","R200-6E1127NEG","LATERAL POSTERIOR DERECHO THOR 2023","","","30","30","4.96","",""
"735","R200-6E1306","PEDAL DE CAMBIO THOR","","","50","50","2.52","",""
"740","R200-6E1410","PROTECTOR DEL ESCAPE","Protect plank, muffler","","30","30","2.85","",""
"745","R200-6E1707","AUTOMATICO","Starting relay","","100","100","2.62","",""
